hh,WDIR,WSPD,GST,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,WVHT
1,23,3,3.6,4.17,3.33,349,1019.1,4.7,5.1,4.2,0.39
2,30,2.9,3.3,5.26,4.21,358,1018.8,4.6,4.8,4.1,0.65
3,360,2.2,2.5,5.88,4.79,11,1018.3,4.6,4.7,4.2,0.9
4,355,2.5,3.1,5.88,4.95,23,1018.1,4.6,4.6,4.2,0.91
5,355,3.5,4.5,6.25,4.98,26,1018.3,4.5,4.6,4,0.88
6,25,2.6,3.2,6.25,5.07,17,1017.7,4.4,4.6,4,0.87
7,32,1.7,2.3,6.67,4.76,17,1017.4,4.5,4.6,4.2,0.8
8,349,1.3,1.6,6.67,4.8,29,1017.1,4.6,4.6,4.3,0.75
9,25,2.3,2.6,6.25,4.98,17,1017.2,4.8,4.6,4.3,0.83
10,51,3.4,3.7,6.25,4.77,6,1017.1,5.7,4.6,4.7,0.69
11,53,3.7,4.1,5.26,4.48,358,1017.5,5.7,4.6,4.8,0.59
12,57,3.4,3.9,5.88,4.7,358,1018,5.7,4.7,4.8,0.61
13,65,3.5,3.9,5.88,4.59,350,1017.8,5.7,4.7,5,0.55
14,85,3.3,3.8,5.88,4.54,347,1017.7,5.8,4.8,5.1,0.5
15,94,3.3,3.7,5.26,4.33,339,1017,6.2,4.9,5.1,0.41
16,94,1.8,2.2,5.26,4.06,337,1016.6,6.6,5,5.1,0.43
17,54,0.9,1.1,5.26,3.82,343,1015.9,7.5,5.4,5.3,0.42
18,52,1.6,1.8,5,3.74,353,1014.8,8,5.9,5.6,0.42
19,33,2.2,2.4,3.23,3.69,60,1013.7,8.6,6.3,6,0.36
20,22,2.5,2.8,4.55,3.82,8,1012.7,8.7,6.3,6,0.34
21,32,2.6,2.9,4.76,3.88,5,1011.8,9.1,6.3,5.9,0.31
22,27,2.6,2.7,4.76,4.03,6,1011,10.2,6.4,4.9,0.3
23,27,2.6,2.8,5,4.24,9,1010.4,9.2,6.1,5.3,0.3
0,54,3.1,3.3,4.76,4.28,1,1009.6,8.9,6.1,4.9,0.28
9,101,5.6,6.3,2.74,2.77,102,1007.7,7.7,5,5.5,0.27
10,97,6.6,7.6,2.74,2.79,108,1007.3,7.6,4.9,5.9,0.36
11,101,5.8,6.6,3.03,2.94,102,1007.4,7.5,4.9,6.1,0.4
12,104,6.1,6.8,3.33,3,96,1007.4,7.6,4.9,6.3,0.41
13,115,6.1,6.8,3.23,2.97,100,1007.1,7.6,4.9,6.7,0.46
14,122,5.5,6.2,3.23,3.05,106,1007,7.7,4.9,6.8,0.43
15,131,4.9,5.5,3.33,2.99,117,1006.9,7.9,5,7,0.37
16,131,4.2,4.6,3.23,2.97,112,1006.8,8.1,5.1,7.2,0.32
17,120,4.5,4.8,3.03,3.02,114,1006.2,8.4,5.1,7.3,0.3
18,112,4.1,4.4,3.13,2.95,132,1005.5,8.7,5.2,7.5,0.26
7,107,6.5,7.2,2.47,2.55,111,1000.1,9.5,5.2,8.4,0.28
